Date,Value
2018-03-31,1.408
2018-02-28,1.4
2018-01-31,1.39
2017-12-31,1.386
2017-11-30,1.38
2017-10-31,1.372
2017-09-30,1.37
2017-08-31,1.37
2017-07-31,1.378
2017-06-30,1.39
2017-05-31,1.402
2017-04-30,1.412
2017-03-31,1.408
2017-02-28,1.41
2017-01-31,1.41
2016-12-31,1.422
2016-11-30,1.434
2016-10-31,1.444
2016-09-30,1.46
2016-08-31,1.48
2016-07-31,1.498
2016-06-30,1.51
2016-05-31,1.514
2016-04-30,1.51
2016-03-31,1.528
2016-02-29,1.55
2016-01-31,1.576
2015-12-31,1.576
2015-11-30,1.578
2015-10-31,1.578
2015-09-30,1.578
2015-08-31,1.57
2015-07-31,1.554
2015-06-30,1.536
2015-05-31,1.526
2015-04-30,1.524
2015-03-31,1.516
2015-02-28,1.512
2015-01-31,1.504
2014-12-31,1.502
2014-11-30,1.494
2014-10-31,1.48
2014-09-30,1.464
2014-08-31,1.442
2014-07-31,1.416
2014-06-30,1.396
2014-05-31,1.376
2014-04-30,1.368
2014-03-31,1.36
2014-02-28,1.36
2014-01-31,1.358
2013-12-31,1.356
2013-11-30,1.35
2013-10-31,1.334
2013-09-30,1.324
2013-08-31,1.316
2013-07-31,1.314
2013-06-30,1.314
2013-05-31,1.312
2013-04-30,1.302
2013-03-31,1.286
2013-02-28,1.27
2013-01-31,1.25
2012-12-31,1.23
2012-11-30,1.216
2012-10-31,1.202
2012-09-30,1.198
2012-08-31,1.196
2012-07-31,1.198
2012-06-30,1.202
2012-05-31,1.202
2012-04-30,1.2
2012-03-31,1.194
2012-02-29,1.188
2012-01-31,1.182
2011-12-31,1.186
2011-11-30,1.194
2011-10-31,1.2
2011-09-30,1.208
2011-08-31,1.212
2011-07-31,1.214
2011-06-30,1.212
2011-05-31,1.21
2011-04-30,1.206
2011-03-31,1.198
2011-02-28,1.188
2011-01-31,1.178
2010-12-31,1.172
2010-11-30,1.168
