Date,Value
1975-01-31,32.602350151
1975-02-28,32.944115833
1975-03-31,33.542974868
1975-04-30,34.40282627
1975-05-31,34.649754848
1975-06-30,34.214011605
1975-07-31,33.926083997
1975-08-31,33.892529981
1975-09-30,33.975850182
1975-10-31,34.088819195
1975-11-30,34.297687559
1975-12-31,34.495963882
1976-01-31,34.624718421
1976-02-29,34.927335978
1976-03-31,35.656680511
1976-04-30,36.676904034
1976-05-31,36.983258946
1976-06-30,36.591100652
1976-07-31,36.396802681
1976-08-31,36.393827699
1976-09-30,36.488809375
1976-10-31,36.70765949
1976-11-30,37.017606311
1976-12-31,37.23671098
1977-01-31,37.416779237
1977-02-28,37.856733779
1977-03-31,38.898026523
1977-04-30,40.557091016
1977-05-31,40.866863785
1977-06-30,39.888819041
1977-07-31,39.612600825
1977-08-31,39.82731239
1977-09-30,40.149454699
1977-10-31,40.712779244
1977-11-30,41.519286847
1977-12-31,42.167828174
1978-01-31,42.586548565
1978-02-28,43.068798953
1978-03-31,43.894170372
1978-04-30,45.146845427
1978-05-31,45.727979098
1978-06-30,45.743293112
1978-07-31,46.240423908
1978-08-31,46.803581269
1978-09-30,47.116352469
1978-10-31,47.468183687
1978-11-30,48.109870921
1978-12-31,48.734652547
1979-01-31,49.207226462
1979-02-28,49.793363385
1979-03-31,50.809496256
1979-04-30,52.132000166
1979-05-31,52.858870701
1979-06-30,53.079605984
1979-07-31,53.610491418
1979-08-31,54.338557868
1979-09-30,54.91234178
1979-10-31,55.418425791
1979-11-30,56.081026412
1979-12-31,56.874698538
1980-01-31,57.599079512
1980-02-29,58.040716155
1980-03-31,58.525598437
1980-04-30,59.406092033
1980-05-31,59.872629482
1980-06-30,59.764553492
1980-07-31,59.911867404
1980-08-31,60.445938038
1980-09-30,61.167081029
1980-10-31,61.586490279
1980-11-30,61.56695584
1980-12-31,61.503603267
1981-01-31,61.650925652
1981-02-28,62.114014347
1981-03-31,62.934174593
1981-04-30,63.865132313
1981-05-31,64.214037754
1981-06-30,64.133511893
1981-07-31,64.371473343
1981-08-31,64.843283303
1981-09-30,65.295347067
1981-10-31,65.832271622
1981-11-30,66.542559532
1981-12-31,67.339410595
1982-01-31,68.084823101
1982-02-28,68.682152298
1982-03-31,69.077551441
1982-04-30,69.181948176
1982-05-31,68.990123242
1982-06-30,68.767492656
1982-07-31,68.916527957
1982-08-31,69.520623733
1982-09-30,70.293143658
1982-10-31,70.838637986
1982-11-30,70.877282753
1982-12-31,70.586077373
1983-01-31,70.437589094
1983-02-28,70.609602612
1983-03-31,70.960770674
1983-04-30,71.349585913
1983-05-31,71.683991961
1983-06-30,71.970399925
1983-07-31,72.143236156
1983-08-31,72.371729903
1983-09-30,72.894448422
1983-10-31,73.418189313
1983-11-30,73.709252213
1983-12-31,73.712289059
1984-01-31,73.477029923
1984-02-29,73.375842899
1984-03-31,73.589355859
1984-04-30,73.971172932
