Date,Value
1975-01-31,31.66879358
1975-02-28,32.161920377
1975-03-31,32.680524985
1975-04-30,33.210124158
1975-05-31,33.714128189
1975-06-30,34.179561018
1975-07-31,34.61114124
1975-08-31,34.997926948
1975-09-30,35.324391768
1975-10-31,35.564002224
1975-11-30,35.71994834
1975-12-31,35.823017545
1976-01-31,35.909297336
1976-02-29,36.027093099
1976-03-31,36.205274316
1976-04-30,36.448180704
1976-05-31,36.776850464
1976-06-30,37.232641563
1976-07-31,37.805034655
1976-08-31,38.417253446
1976-09-30,39.032822347
1976-10-31,39.656983076
1976-11-30,40.240417589
1976-12-31,40.708417589
1977-01-31,41.069725518
1977-02-28,41.390569004
1977-03-31,41.709548355
1977-04-30,42.040221631
1977-05-31,42.410105625
1977-06-30,42.887022262
1977-07-31,43.521440293
1977-08-31,44.246358135
1977-09-30,44.929122597
1977-10-31,45.523155085
1977-11-30,46.092705187
1977-12-31,46.696163026
1978-01-31,47.372835627
1978-02-28,48.112996908
1978-03-31,48.852817746
1978-04-30,49.525542399
1978-05-31,50.120657422
1978-06-30,50.709864961
1978-07-31,51.254378138
1978-08-31,51.665479483
1978-09-30,52.012930665
1978-10-31,52.426962968
1978-11-30,52.972953042
1978-12-31,53.644729598
1979-01-31,54.394364691
1979-02-28,55.25576401
1979-03-31,56.315511969
1979-04-30,57.589289912
1979-05-31,58.946265561
1979-06-30,60.229084724
1979-07-31,61.323226731
1979-08-31,62.080030708
1979-09-30,62.44740417
1979-10-31,62.546654996
1979-11-30,62.561861772
1979-12-31,62.611600218
1980-01-31,62.651429703
1980-02-29,62.619409111
1980-03-31,62.568493043
1980-04-30,62.516272497
1980-05-31,62.481061392
1980-06-30,62.514079335
1980-07-31,62.631862683
1980-08-31,62.773670588
1980-09-30,62.872750353
1980-10-31,62.959054649
1980-11-30,63.088005733
1980-12-31,63.279843134
1981-01-31,63.529624981
1981-02-28,63.829191005
1981-03-31,64.205931458
1981-04-30,64.721432481
1981-05-31,65.427348845
1981-06-30,66.236707747
1981-07-31,66.905051336
1981-08-31,67.305584153
1981-09-30,67.497726804
1981-10-31,67.592144123
1981-11-30,67.687472393
1981-12-31,67.829354009
1982-01-31,68.006258555
1982-02-28,68.16642899
1982-03-31,68.258808597
1982-04-30,68.262411123
1982-05-31,68.186956273
1982-06-30,68.039206096
1982-07-31,67.806096588
1982-08-31,67.520572921
1982-09-30,67.235683199
1982-10-31,66.990660624
1982-11-30,66.834271196
1982-12-31,66.791508072
1983-01-31,66.82990499
1983-02-28,66.83251643
1983-03-31,66.651574597
1983-04-30,66.268420659
1983-05-31,65.796467141
1983-06-30,65.285926773
1983-07-31,64.785019896
1983-08-31,64.407134406
1983-09-30,64.215582001
1983-10-31,64.228199074
1983-11-30,64.411745781
1983-12-31,64.615500085
1984-01-31,64.662150313
1984-02-29,64.497568676
1984-03-31,64.165541868
1984-04-30,63.760883571
1984-05-31,63.394764138
1984-06-30,63.109544049
1984-07-31,62.885884334
1984-08-31,62.708298681
1984-09-30,62.555639686
1984-10-31,62.378726607
1984-11-30,62.174755837
1984-12-31,62.054213249
1985-01-31,62.111626881
1985-02-28,62.313223972
1985-03-31,62.537041265
1985-04-30,62.656607627
1985-05-31,62.613645076
1985-06-30,62.435148499
1985-07-31,62.178174206
1985-08-31,61.890973901
1985-09-30,61.680265219
1985-10-31,61.645036879
1985-11-30,61.738841687
1985-12-31,61.800449929
1986-01-31,61.648808605
1986-02-28,61.253604444
1986-03-31,60.764697195
1986-04-30,60.328413823
1986-05-31,60.054071583
1986-06-30,59.9439729
1986-07-31,59.82850145
1986-08-31,59.585467285
1986-09-30,59.268370087
1986-10-31,58.968445
1986-11-30,58.663034276
1986-12-31,58.310452926
1987-01-31,57.959529276
1987-02-28,57.573866923
1987-03-31,57.037208075
1987-04-30,56.366858336
1987-05-31,55.66840458
1987-06-30,55.021473109
1987-07-31,54.435534042
1987-08-31,53.824886549
1987-09-30,53.162759568
1987-10-31,52.475420303
1987-11-30,51.797205263
1987-12-31,51.262392993
1988-01-31,50.931966209
1988-02-29,50.687740328
1988-03-31,50.417228053
1988-04-30,50.195173883
1988-05-31,50.236730048
1988-06-30,50.675270254
1988-07-31,51.40955052
1988-08-31,52.094258732
1988-09-30,52.513453139
1988-10-31,52.656639171
1988-11-30,52.517619367
1988-12-31,52.224074384
1989-01-31,51.978394183
1989-02-28,51.935312132
1989-03-31,52.153680976
1989-04-30,52.599326192
1989-05-31,53.189362817
1989-06-30,53.810283791
1989-07-31,54.325510851
1989-08-31,54.640347641
1989-09-30,54.824420354
1989-10-31,54.984052386
1989-11-30,55.14600151
1989-12-31,55.322329982
1990-01-31,55.508284794
1990-02-28,55.726318749
1990-03-31,56.029125486
1990-04-30,56.476712248
1990-05-31,57.081343581
1990-06-30,57.709636473
1990-07-31,58.177558182
1990-08-31,58.400391948
1990-09-30,58.443952142
1990-10-31,58.463050773
1990-11-30,58.574748559
1990-12-31,58.798876116
1991-01-31,59.117116213
1991-02-28,59.533812313
1991-03-31,60.029021848
1991-04-30,60.526426224
1991-05-31,60.955585024
1991-06-30,61.317336177
1991-07-31,61.658680108
1991-08-31,62.00036865
1991-09-30,62.306088725
1991-10-31,62.593456132
1991-11-30,62.95047332
1991-12-31,63.381975474
1992-01-31,63.764672889
1992-02-29,64.018855724
1992-03-31,64.224783658
1992-04-30,64.496375032
1992-05-31,64.838809595
1992-06-30,65.220647296
1992-07-31,65.656491394
1992-08-31,66.155070702
1992-09-30,66.620659287
1992-10-31,66.939118121
1992-11-30,67.119558864
1992-12-31,67.197994735
1993-01-31,67.27945097
1993-02-28,67.492565565
1993-03-31,67.909587949
1993-04-30,68.529369779
1993-05-31,69.348123804
1993-06-30,70.286857744
1993-07-31,71.04146444
1993-08-31,71.443076367
1993-09-30,71.677564062
1993-10-31,71.989070268
1993-11-30,72.387551919
1993-12-31,72.827069544
1994-01-31,73.368591578
1994-02-28,73.98659709
1994-03-31,74.666527696
1994-04-30,75.53867394
1994-05-31,76.551099381
1994-06-30,77.400237788
1994-07-31,77.954326732
1994-08-31,78.37081101
1994-09-30,78.722596495
1994-10-31,78.958896904
1994-11-30,79.156330325
1994-12-31,79.405153219
1995-01-31,79.766620089
1995-02-28,80.264999949
1995-03-31,80.881613633
1995-04-30,81.621181305
1995-05-31,82.338332145
